property_id,listing_id,mls_id,address,city,state,zip_code,latitude,longitude,location,price,beds,baths,full_baths,sqft,lot_size,year_built,stories,property_type,ui_property_type,listing_type,mls_status,search_status,price_per_sqft,hoa_fee,days_on_market,time_on_redfin,sold_date,is_hot,has_virtual_tour,has_video_tour,has_3d_tour,is_new_construction,listing_broker,data_source_id,market_id,has_insight,url,scraped_at,data_type,price_per_bed,price_per_bath,sqft_per_bed,bed_bath_ratio,home_age,price_segment,size_segment
78812863,205708540,1849044,7820 Eustis Ct,Cincinnati,OH,45236,,,Deer Park,300000,3.0,2.0,2.0,1375.0,5619.0,1952.0,1.0,6,1,1,Active,1,218.0,,,"{'value': 91123641, 'level': 1}",1498719600000.0,False,True,False,True,False,,158,64,False,/OH/Cincinnati/7820-Eustis-Ct-45236/home/78812863,2025-07-26T15:01:18.831837,active,100000.0,150000.0,458.3333333333333,1.5,72.0,Moderate,Medium
76140015,205750196,1849452,4636 Ashtree Dr,Cincinnati,OH,45223,,,Northside,192900,4.0,1.0,1.0,1165.0,6055.0,1955.0,1.0,6,1,1,Active,1,166.0,,,"{'value': 536421, 'level': 1}",1717743600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/4636-Ashtree-Dr-45223/home/76140015,2025-07-26T15:01:18.831879,active,48225.0,192900.0,291.25,4.0,69.0,Moderate,Small
100955420,205749110,1849509,1545 Ruth Ave,Cincinnati,OH,45207,,,Evanston,399900,3.0,2.5,2.0,1478.0,6273.0,2022.0,2.0,6,1,1,Active,1,271.0,,,"{'value': 5342687, 'level': 1}",1670227200000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/1545-Ruth-Ave-45207/home/100955420,2025-07-26T15:01:18.831891,active,133300.0,159960.0,492.6666666666667,1.2,2.0,Upper_Mid,Medium
76152873,205745578,1849504,2169 Bolser Dr,Reading,OH,45215,,,Reading,340000,4.0,2.5,2.0,1728.0,8189.0,1986.0,4.0,6,1,1,Active,1,197.0,,,"{'value': 36061374, 'level': 1}",1632726000000.0,False,False,False,False,False,,158,64,True,/OH/Cincinnati/2169-Bolser-Dr-45215/home/76152873,2025-07-26T15:01:18.831900,active,85000.0,136000.0,432.0,1.6,38.0,Upper_Mid,Medium
76126752,205634856,1848781,7410 Lawyer Rd,Anderson Twp,OH,45244,,,Anderson Twp.,625000,3.0,4.0,4.0,2436.0,20038.0,1955.0,1.0,6,1,1,Active,1,257.0,,,"{'value': 39388386, 'level': 1}",1734508800000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/7410-Lawyer-Rd-45244/home/76126752,2025-07-26T15:01:18.831909,active,208333.33333333334,156250.0,812.0,0.75,69.0,Luxury,Large
101035664,205606823,1848033,800 Cedarhill Dr,Springdale,OH,45240,,,Springdale,300000,4.0,2.5,2.0,2046.0,12023.0,1969.0,2.0,6,1,1,Active,1,147.0,,,"{'value': 39389052, 'level': 1}",937983600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/800-Cedarhill-Dr-45240/home/101035664,2025-07-26T15:01:18.831919,active,75000.0,120000.0,511.5,1.6,55.0,Moderate,Large
76164031,205713592,1849415,7959 Jolain Dr,Montgomery,OH,45242,,,Montgomery,750000,4.0,3.5,3.0,3080.0,16379.0,1963.0,2.0,6,1,1,Active,1,244.0,,,"{'value': 39389417, 'level': 1}",1664866800000.0,False,False,False,False,False,,158,64,False,/OH/Montgomery/7959-Jolain-Dr-45242/home/76164031,2025-07-26T15:01:18.831927,active,187500.0,214285.7142857143,770.0,1.1428571428571428,61.0,Luxury,Very_Large
78823071,205651447,1849211,2823 Erie Ave,Cincinnati,OH,45208,,,Hyde Park,1090000,4.0,4.5,4.0,2497.0,8146.0,1907.0,3.0,6,1,1,Active,1,437.0,,,"{'value': 39389477, 'level': 1}",1568358000000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/2823-Erie-Ave-45208/home/78823071,2025-07-26T15:01:18.831934,active,272500.0,242222.22222222222,624.25,0.8888888888888888,117.0,Ultra_Luxury,Large
76077504,205660797,1849144,1992 Flintshire Ct,Anderson Twp,OH,45230,,,Anderson Twp.,315900,4.0,2.5,2.0,1764.0,9017.0,1967.0,2.0,6,1,1,Active,1,179.0,,,"{'value': 39389579, 'level': 1}",,False,False,False,False,False,,158,64,False,/OH/Cincinnati/1992-Flintshire-Ct-45230/home/76077504,2025-07-26T15:01:18.831941,active,78975.0,126360.0,441.0,1.6,57.0,Upper_Mid,Medium
100948905,205562937,1848638,3421 Golden Ave #8,Cincinnati,OH,45226,,,Columbia/Tusculum,459900,2.0,2.5,2.0,1714.0,784.0,1994.0,2.0,13,3,1,Active,1,268.0,275.0,,"{'value': 39389791, 'level': 1}",1703577600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/3421-Golden-Ave-45226/unit-8/home/100948905,2025-07-26T15:01:18.831947,active,229950.0,183960.0,857.0,0.8,30.0,Upper_Mid,Medium
