SOURCE,FREQUENCY,SERIESID,GEOLEVEL,GEOID,GEONAME,MARKET,PERIOD,YEAR,QUARTER,MONTH,SUPPRESSED,VALUE1,VALUE2
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,1998,1998,4,12,0,11683,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,1999,1999,4,12,0,9497,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2000,2000,4,12,0,7324,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2001,2001,4,12,0,12852,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2002,2002,4,12,0,15402,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2003,2003,4,12,0,20547,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2004,2004,4,12,0,13195,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2005,2005,4,12,0,13079,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2006,2006,4,12,0,11212,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2007,2007,4,12,0,9115,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2008,2008,4,12,0,6779,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2009,2009,4,12,0,8872,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2010,2010,4,12,0,7657,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2011,2011,4,12,0,6772,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2012,2012,4,12,0,9514,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2013,2013,4,12,0,8280,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2014,2014,4,12,0,5521,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2015,2015,4,12,0,6908,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2016,2016,4,12,0,7836,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2017,2017,4,12,0,6749,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2018,2018,4,12,0,6066,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2019,2019,4,12,0,7750,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2020,2020,4,12,0,12889,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2021,2021,4,12,0,13387,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2022,2022,4,12,0,6403,
NMDB,Annual,TOT_ORIG,National,USA,United States,All Mortgages,2023,2023,4,12,0,4014,
