SOURCE,FREQUENCY,SERIESID,GEOLEVEL,GEOID,GEONAME,MARKET,PERIOD,YEAR,QUARTER,MONTH,SUPPRESSED,VALUE1,VALUE2
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2013Q1,2013,1,03,0,52594,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2013Q2,2013,2,06,0,52409,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2013Q3,2013,3,09,0,52022,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2013Q4,2013,4,12,0,51741,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2014Q1,2014,1,03,0,51458,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2014Q2,2014,2,06,0,51396,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2014Q3,2014,3,09,0,51290,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2014Q4,2014,4,12,0,51184,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2015Q1,2015,1,03,0,51113,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2015Q2,2015,2,06,0,50925,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2015Q3,2015,3,09,0,50861,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2015Q4,2015,4,12,0,50144,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2016Q1,2016,1,03,0,49575,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2016Q2,2016,2,06,0,49532,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2016Q3,2016,3,09,0,49518,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2016Q4,2016,4,12,0,49418,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2017Q1,2017,1,03,0,49293,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2017Q2,2017,2,06,0,49357,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2017Q3,2017,3,09,0,49349,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2017Q4,2017,4,12,0,49239,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2018Q1,2018,1,03,0,49119,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2018Q2,2018,2,06,0,49152,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2018Q3,2018,3,09,0,49138,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2018Q4,2018,4,12,0,49139,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2019Q1,2019,1,03,0,49144,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2019Q2,2019,2,06,0,49355,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2019Q3,2019,3,09,0,49623,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2019Q4,2019,4,12,0,49752,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2020Q1,2020,1,03,0,49960,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2020Q2,2020,2,06,0,50036,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2020Q3,2020,3,09,0,50051,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2020Q4,2020,4,12,0,50152,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2021Q1,2021,1,03,0,50272,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2021Q2,2021,2,06,0,50301,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2021Q3,2021,3,09,0,50392,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2021Q4,2021,4,12,0,50674,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2022Q1,2022,1,03,0,50723,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2022Q2,2022,2,06,0,50731,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2022Q3,2022,3,09,0,50847,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2022Q4,2022,4,12,0,50936,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2023Q1,2023,1,03,0,50999,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2023Q2,2023,2,06,0,51177,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2023Q3,2023,3,09,0,51307,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2023Q4,2023,4,12,0,51365,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2024Q1,2024,1,03,0,51413,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2024Q2,2024,2,06,0,51568,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2024Q3,2024,3,09,0,51680,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2024Q4,2024,4,12,0,51689,
NMDB,Quarterly,TOT_LOANS,National,USA,United States,All Mortgages,2025Q1,2025,1,03,0,51392,
